,hedge_ratio,sid_1,sid_2
0,[10.3247466  -5.25733952],BTC-USDT,ETH-USDT
1,[3.1039476 3.6633524],BTC-USDT,ADA-USDT
2,[ 2.53107641 -6.83278701],BTC-USDT,SOL-USDT
3,[ 9.51973252 -2.53362143],BTC-USDT,LINK-USDT
4,[12.25365437 -4.38646234],BTC-USDT,LTC-USDT
5,[5.04340599 1.63807168],BTC-USDT,MATIC-USDT
6,[ 7.84953318 -3.29534996],BTC-USDT,ETC-USDT
7,[ 3.59733702 -9.58451701],ETH-USDT,ADA-USDT
8,[ 10.91318686 -10.01493038],ETH-USDT,BNB-USDT
9,[ 4.80254962 -8.65357488],ETH-USDT,SOL-USDT
10,[12.48793428 -8.44562187],ETH-USDT,XRP-USDT
11,[13.36914776 -7.20264593],ETH-USDT,DOT-USDT
12,[ 13.63544181 -10.8698151 ],ETH-USDT,UNI-USDT
13,[2.82517459 2.27930376],ETH-USDT,MATIC-USDT
14,[ 9.11112693 -6.23118164],ETH-USDT,FIL-USDT
15,[ 9.9330094  -7.17539527],ETH-USDT,ETC-USDT
16,[12.15845935 -9.45930192],ETH-USDT,TRX-USDT
17,[ 9.2450887  -4.10339202],ADA-USDT,XRP-USDT
18,[10.65669366 -3.67149258],ADA-USDT,DOT-USDT
19,[ 9.13262366 -2.13834177],ADA-USDT,BCH-USDT
20,[ 6.89723602 -3.38614251],ADA-USDT,FIL-USDT
21,[10.67560562 -3.46548738],ADA-USDT,XLM-USDT
22,[11.17094936 -4.36297004],ADA-USDT,ETC-USDT
23,[ 3.50785325 -8.53949803],BNB-USDT,SOL-USDT
24,[12.69229613 -8.79107819],BNB-USDT,LTC-USDT
25,[ 14.16843887 -19.6120028 ],BNB-USDT,ALGO-USDT
26,[3.40334436 1.28157239],BNB-USDT,MATIC-USDT
27,[ 5.55467754 -4.19304682],BNB-USDT,ETC-USDT
28,[ 9.28419437 -3.71957956],SOL-USDT,XRP-USDT
29,[ 8.61676985 -3.17644265],SOL-USDT,UNI-USDT
30,[ 9.60648254 -3.56788005],SOL-USDT,FIL-USDT
31,[ 9.27925466 -3.07356521],SOL-USDT,VET-USDT
32,[ 9.02647882 -3.95035587],SOL-USDT,TRX-USDT
33,[10.65810292 -5.77408973],SOL-USDT,THETA-USDT
34,[ 14.70286045 -12.42353009],XRP-USDT,DOT-USDT
35,[ 10.45265312 -12.05694815],XRP-USDT,UNI-USDT
36,[ 14.87816728 -13.36046465],XRP-USDT,VET-USDT
37,[ 5.02720452 -5.13622232],XRP-USDT,ETC-USDT
38,[ 5.44540466 -7.52184015],DOGE-USDT,UNI-USDT
39,[ 6.80898342 -7.09692865],DOGE-USDT,FIL-USDT
40,[ 5.21289773 -6.4274815 ],DOGE-USDT,ETC-USDT
41,[  6.88212202 -10.28030081],DOT-USDT,UNI-USDT
42,[ 11.1620623  -11.63682212],DOT-USDT,LINK-USDT
43,[ 9.34084916 -9.94193535],DOT-USDT,BCH-USDT
44,[  7.75255218 -15.89129996],DOT-USDT,ALGO-USDT
45,[ 11.00172505 -11.79379289],DOT-USDT,VET-USDT
46,[ 3.07583516 -3.34931644],LUNA-USDT,ETC-USDT
47,[11.2625492  -7.13290882],UNI-USDT,AVAX-USDT
48,[ 5.55512819 -4.72971737],UNI-USDT,ETC-USDT
49,[ 14.25530683 -14.38608434],LINK-USDT,VET-USDT
50,[ 5.2702726  -6.10742905],LINK-USDT,ETC-USDT
51,[ 5.81150962 -6.7058043 ],BCH-USDT,ETC-USDT
52,[ 13.42695318 -16.84225391],BCH-USDT,TRX-USDT
53,[ 8.65837376 -8.98511363],LTC-USDT,FIL-USDT
54,[ 11.78016466 -11.62469181],LTC-USDT,VET-USDT
55,[ 5.57107143 -6.1688169 ],LTC-USDT,ETC-USDT
56,[ 16.42986757 -19.77135728],LTC-USDT,TRX-USDT
57,[14.78776976 -6.44744528],ALGO-USDT,AVAX-USDT
58,[16.51841185 -8.78110952],ALGO-USDT,FIL-USDT
59,[16.6708168  -8.48656008],ALGO-USDT,VET-USDT
60,[ 7.8954151  -4.92286877],ALGO-USDT,ETC-USDT
61,[ 20.2580555  -13.57616211],ALGO-USDT,TRX-USDT
62,[2.57280338 1.53782392],MATIC-USDT,ETC-USDT
63,[ 13.30941321 -13.0827622 ],FIL-USDT,VET-USDT
64,[ 4.05764151 -3.96625913],FIL-USDT,ETC-USDT
65,[ 4.67045784 -5.16791458],VET-USDT,ETC-USDT
66,[ 5.05181387 -5.77777057],ETC-USDT,TRX-USDT
67,[ 3.84826056 -4.69295994],ETC-USDT,THETA-USDT
