,hedge_ratio,sid_1,sid_2,i
0,[  7.90071559 -25.61485873],ETH,XMR,0
1,[1.02580093 8.25009126],XRP,MATIC,1
2,[  2.7518084  -12.76723471],ETC,LINK,2
3,[  2.42234246 -20.63453816],ETC,XMR,3
4,[ 3.09986115 -9.19958129],ETC,UNI,4
5,[0.65584377 8.28017439],LINK,MATIC,5
6,[ 0.23038278 14.9559507 ],LINK,XMR,6
7,[  5.7654563  -11.35095453],BNB,MATIC,7
8,[ 1.76463632 13.80914193],BNB,XMR,8
9,[5.43613417 8.10270385],MATIC,XMR,9
10,[ 9.12395533 -1.07394373],MATIC,UNI,10
11,[20.03148889 -4.40797826],XMR,UNI,11
