,hedge_ratio,sid_1,sid_2,i
0,[  1.1576119  -11.30645632],BTC,LINK,0
1,[1.70279129 5.09008315],BTC,ATOM,1
2,[1.85413471 6.19066466],BTC,UNI,2
3,[  1.65633084 -11.9391206 ],ETH,LINK,3
4,[  2.85545758 -12.51443052],ETH,XMR,4
5,[2.10608037 5.47477896],ETH,UNI,5
6,[  0.86032721 -11.04867268],XRP,LINK,6
7,[  2.07207785 -10.947544  ],LTC,XMR,7
8,[  2.43261567 -13.4416518 ],ETC,LINK,8
9,[ 3.0025491  -9.17086466],ETC,UNI,9
10,[12.53391391 -2.88552592],LINK,XLM,10
11,[12.42090872 -2.05816211],LINK,ADA,11
12,[12.27587414 -3.07453994],LINK,BNB,12
13,[11.29470431 -0.80526328],LINK,ATOM,13
14,[12.63120254 -2.46704736],LINK,DOT,14
15,[11.97154304 -0.8890953 ],LINK,SOL,15
16,[13.40019526 -2.6218111 ],LINK,AVAX,16
17,[10.55162528  0.01629852],LINK,MATIC,17
18,[10.780323   -0.50188156],LINK,XMR,18
19,[12.04607328 -0.97090539],LINK,NEAR,19
20,[12.9956219  -3.60696211],LINK,EOS,20
21,[12.5272965  -2.32658183],LINK,NEO,21
22,[11.69969477 -1.44282493],LINK,UNI,22
23,[ 12.31790897 -15.16448607],ADA,DOT,23
24,[13.33567661 -6.67404315],ADA,SOL,24
25,[1.68339144 8.57900947],ADA,XMR,25
26,[  5.03338985 -12.42398923],BNB,XMR,26
27,[3.30857003 5.25039299],BNB,UNI,27
28,[2.15273982 7.95373395],DOT,XMR,28
29,[ 2.08439432 -7.0109924 ],DOT,UNI,29
30,[ 2.356398   -7.74595732],AVAX,UNI,30
31,[  2.93611525 -10.56482947],MATIC,XMR,31
32,[0.08623009 6.52319401],MATIC,UNI,32
33,[9.051376   0.64383448],XMR,NEO,33
34,[ 0.46494729 -6.71942975],XMR,UNI,34
35,[ 1.49674737 -7.23542999],EOS,UNI,35
36,[1.28834262 5.97806237],NEO,UNI,36
