,hedge_ratio,sid_1,sid_2,i
0,[ 6.34527758 10.48442733],BTC,ETC,0
1,[ 0.71978645 15.75399737],BTC,LINK,1
2,[  6.03190696 -29.10429389],BTC,BNB,2
3,[  6.77207295 -28.44040614],ETH,BNB,3
4,[ 12.04204745 -23.52468745],LTC,LINK,4
5,[  6.31949513 -14.02620026],LTC,SOL,5
6,[ 23.48164525 -18.69106098],LTC,AVAX,6
7,[  0.82022234 -17.05331563],ETC,LINK,7
8,[ 22.49037311 -20.67827007],ETC,DOT,8
9,[ 16.51070826 -17.36754479],ETC,SOL,9
10,[ 24.63238905 -16.49923963],ETC,AVAX,10
11,[ 19.71549226 -22.94308047],ETC,XMR,11
12,[ 28.8552803  -13.69383858],ETC,NEAR,12
13,[13.01198908  2.21420606],ETC,EOS,13
14,[14.07551438  1.90774223],ETC,NEO,14
15,[19.74240407 -4.34119293],LINK,XLM,15
16,[21.53295977 -5.78287802],LINK,ADA,16
17,[12.88244515  6.50909393],LINK,BNB,17
18,[15.54772272  1.7330894 ],LINK,ATOM,18
19,[23.13032492 -7.85804691],LINK,DOT,19
20,[5.23056368 8.80936141],LINK,SOL,20
21,[22.506296   -6.71044668],LINK,AVAX,21
22,[14.92357955  4.93105287],LINK,XMR,22
23,[19.67187074 -2.68486458],LINK,NEO,23
24,[  3.2838696  -13.19579404],ADA,SOL,24
25,[18.49183079  4.00528804],BNB,ATOM,25
26,[14.58484502  6.51272178],BNB,DOT,26
27,[6.07102347 9.42445852],BNB,SOL,27
28,[  8.83808513 -18.8332887 ],ATOM,DOT,28
29,[  5.90137219 -13.927079  ],ATOM,SOL,29
30,[5.99958555 9.09114795],ATOM,EOS,30
31,[10.10070942  3.98492604],ATOM,NEO,31
32,[  0.63125306 -11.80911072],DOT,SOL,32
33,[ 25.62326825 -16.30105242],DOT,AVAX,33
34,[  2.78222404 -18.05590789],DOT,XMR,34
35,[14.13556743 -1.05138631],DOT,EOS,35
36,[12.57861676  0.95413613],DOT,NEO,36
37,[ 21.00624228 -12.58691023],DOT,UNI,37
38,[16.10118787 -6.80377853],SOL,AVAX,38
39,[ 13.92335811 -17.41760029],SOL,XMR,39
40,[10.29299185  2.60595937],SOL,NEO,40
41,[  6.67162984 -20.72610077],AVAX,XMR,41
42,[ 2.6265062  16.33200385],MATIC,XMR,42
43,[4.68148972 3.76552981],MATIC,NEO,43
44,[20.39860871 -3.7190002 ],XMR,NEAR,44
45,[19.99700434  4.49192763],XMR,NEO,45
46,[7.04400824 3.7359707 ],NEAR,NEO,46
