,hedge_ratio,sid_1,sid_2
0,[ 13.74050458 -62.83444892],BTC,SOL
1,[188.09235183 -74.89135289],BTC,MATIC
2,[  1.85997195 -57.10297709],ETH,SOL
3,[118.97069893 -91.07261646],XRP,ETC
4,[ 78.51094858 -62.40401521],XRP,BNB
5,[26.0399115 46.1573526],XRP,SOL
6,[58.79920845  0.31500967],XRP,MATIC
7,[ 34.84950604 -85.62495287],LTC,SOL
8,[ 64.69883439 -81.58572814],ETC,BNB
9,[138.47074743 -98.07376295],ETC,ATOM
10,[153.41810292 -92.6621386 ],ADA,DOT
11,[ 1.55374306 54.87321467],ADA,SOL
12,[ 68.63178    -36.35860594],BNB,ATOM
13,[18.50522258 52.84583499],BNB,SOL
14,[59.08676086 -3.34038546],SOL,MATIC
15,[55.07029849  0.97082484],SOL,XMR
16,[  54.94636737 -105.96103363],MATIC,XMR
