i,pairs,half_life,hedge_ratio,sid_1,sid_2
12,['LTC' 'XMR'],40,[ 26.26102528 -70.21746029],LTC,XMR
34,['MATIC' 'XMR'],49,[22.88928805 35.38803656],MATIC,XMR
39,['XMR' 'UNI'],53,[37.72579497 18.23129893],XMR,UNI
41,['MANA' 'UNI'],61,[ 49.52048185 -34.10343683],MANA,UNI
40,['NEAR' 'MANA'],61,[ 28.55084246 -50.96965568],NEAR,MANA
27,['BNB' 'XMR'],62,[20.62332548 36.70043684],BNB,XMR
9,['XRP' 'XMR'],63,[  4.83818405 -48.98621273],XRP,XMR
38,['XMR' 'MANA'],65,[27.97782191 18.06431601],XMR,MANA
4,['BTC' 'XMR'],69,[ 10.67405194 -49.21769878],BTC,XMR
11,['LTC' 'MATIC'],69,[14.58328594 26.82504414],LTC,MATIC
30,['ALGO' 'XMR'],70,[15.3411373  31.29187851],ALGO,XMR
36,['MATIC' 'UNI'],73,[ 61.9853609  -42.26372881],MATIC,UNI
32,['DOT' 'XMR'],75,[13.20496618 33.04328179],DOT,XMR
35,['MATIC' 'MANA'],78,[ 40.13513947 -46.76611223],MATIC,MANA
0,['BTC' 'ETC'],78,[ 29.70625969 -43.05253243],BTC,ETC
20,['LINK' 'ALGO'],79,[ 45.38394205 -26.15542288],LINK,ALGO
37,['XMR' 'NEAR'],80,[37.51521111  4.14510081],XMR,NEAR
8,['XRP' 'MATIC'],81,[ 6.73234011 32.79002226],XRP,MATIC
22,['LINK' 'MATIC'],81,[23.32180952 16.91055411],LINK,MATIC
33,['DOT' 'MANA'],82,[ 24.84852552 -42.94822274],DOT,MANA
13,['LTC' 'MANA'],82,[10.03324704 23.06422642],LTC,MANA
25,['LINK' 'MANA'],86,[19.99158903 15.50859723],LINK,MANA
16,['ETC' 'XMR'],87,[ 6.37344001 33.4797626 ],ETC,XMR
23,['LINK' 'XMR'],87,[14.40986726 27.11291416],LINK,XMR
19,['LINK' 'BNB'],88,[28.05695988 14.21794334],LINK,BNB
1,['BTC' 'LINK'],90,[  8.35816299 -38.94862525],BTC,LINK
18,['ETC' 'MANA'],95,[  3.44557414 -31.13873171],ETC,MANA
31,['ALGO' 'MANA'],96,[ 6.3634861  24.45282647],ALGO,MANA
17,['ETC' 'NEAR'],97,[ 37.986812   -20.40367484],ETC,NEAR
26,['LINK' 'UNI'],101,[29.64349096  3.81251784],LINK,UNI
7,['XRP' 'ALGO'],103,[ 0.807185   29.15602304],XRP,ALGO
21,['LINK' 'DOT'],104,[31.79911166 -0.37171994],LINK,DOT
24,['LINK' 'NEAR'],104,[31.70813122 -0.23561656],LINK,NEAR
10,['LTC' 'LINK'],105,[ 0.55821927 31.00594243],LTC,LINK
14,['ETC' 'LINK'],105,[ 3.07198089 28.81462628],ETC,LINK
15,['ETC' 'DOT'],106,[ 39.31214914 -28.87061662],ETC,DOT
6,['BTC' 'MANA'],106,[10.01403613 21.76668137],BTC,MANA
2,['BTC' 'SOL'],178,[31.08674997 -7.1043552 ],BTC,SOL
5,['BTC' 'NEAR'],197,[ 28.96060386 -12.46761535],BTC,NEAR
