i,pairs,half_life,hedge_ratio,sid_1,sid_2
16,['LINK' 'AVAX'],6,[13.40019526 -2.6218111 ],LINK,AVAX
21,['LINK' 'NEO'],6,[12.5272965  -2.32658183],LINK,NEO
20,['LINK' 'EOS'],6,[12.9956219  -3.60696211],LINK,EOS
19,['LINK' 'NEAR'],6,[12.04607328 -0.97090539],LINK,NEAR
8,['ETC' 'LINK'],6,[  2.43261567 -13.4416518 ],ETC,LINK
10,['LINK' 'XLM'],6,[12.53391391 -2.88552592],LINK,XLM
11,['LINK' 'ADA'],6,[12.42090872 -2.05816211],LINK,ADA
12,['LINK' 'BNB'],6,[12.27587414 -3.07453994],LINK,BNB
14,['LINK' 'DOT'],6,[12.63120254 -2.46704736],LINK,DOT
15,['LINK' 'SOL'],6,[11.97154304 -0.8890953 ],LINK,SOL
22,['LINK' 'UNI'],7,[11.69969477 -1.44282493],LINK,UNI
18,['LINK' 'XMR'],7,[10.780323   -0.50188156],LINK,XMR
17,['LINK' 'MATIC'],7,[10.55162528  0.01629852],LINK,MATIC
0,['BTC' 'LINK'],7,[  1.1576119  -11.30645632],BTC,LINK
13,['LINK' 'ATOM'],7,[11.29470431 -0.80526328],LINK,ATOM
6,['XRP' 'LINK'],7,[  0.86032721 -11.04867268],XRP,LINK
3,['ETH' 'LINK'],7,[  1.65633084 -11.9391206 ],ETH,LINK
4,['ETH' 'XMR'],9,[  2.85545758 -12.51443052],ETH,XMR
7,['LTC' 'XMR'],10,[  2.07207785 -10.947544  ],LTC,XMR
23,['ADA' 'DOT'],10,[ 12.31790897 -15.16448607],ADA,DOT
24,['ADA' 'SOL'],10,[13.33567661 -6.67404315],ADA,SOL
25,['ADA' 'XMR'],10,[1.68339144 8.57900947],ADA,XMR
26,['BNB' 'XMR'],10,[  5.03338985 -12.42398923],BNB,XMR
28,['DOT' 'XMR'],10,[2.15273982 7.95373395],DOT,XMR
33,['XMR' 'NEO'],10,[9.051376   0.64383448],XMR,NEO
31,['MATIC' 'XMR'],11,[  2.93611525 -10.56482947],MATIC,XMR
9,['ETC' 'UNI'],13,[ 3.0025491  -9.17086466],ETC,UNI
