i,pairs,half_life,hedge_ratio,sid_1,sid_2
2,['ETC' 'AVAX'],39,[ 34.38370851 -23.25296429],ETC,AVAX
1,['ETC' 'DOT'],50,[ 33.87069863 -27.8370421 ],ETC,DOT
3,['ETC' 'NEAR'],51,[ 31.95014708 -15.41947697],ETC,NEAR
13,['SOL' 'AVAX'],72,[ 20.86951494 -10.86430553],SOL,AVAX
7,['LINK' 'DOT'],73,[ 26.63637377 -12.53787055],LINK,DOT
16,['AVAX' 'XMR'],79,[  7.46146329 -25.68430579],AVAX,XMR
14,['SOL' 'XMR'],83,[ 15.69249615 -25.26496012],SOL,XMR
8,['LINK' 'NEO'],87,[19.18060517 -3.88647782],LINK,NEO
9,['ADA' 'XMR'],105,[  8.084787   -22.31221961],ADA,XMR
17,['AVAX' 'NEAR'],133,[ 19.02881479 -15.05475293],AVAX,NEAR
