,i,pairs,half_life,hedge_ratio,sid_1,sid_2
33,33,['ADA' 'DOT'],225,[130.45161499 -78.22910824],ADA,DOT
31,31,['ADA' 'ATOM'],473,[ 78.19069887 -21.69143297],ADA,ATOM
20,20,['ETC' 'SOL'],543,[ 58.88964541 -35.01846187],ETC,SOL
6,6,['XRP' 'ETC'],562,[ 55.9258681  -54.81934784],XRP,ETC
1,1,['BTC' 'MATIC'],574,[139.79815515 -64.32324309],BTC,MATIC
21,21,['LINK' 'ADA'],577,[  5.44242016 -62.51509235],LINK,ADA
34,34,['ADA' 'SOL'],586,[64.89933012 -9.18999098],ADA,SOL
13,13,['LTC' 'ADA'],592,[  9.34963056 -59.90440855],LTC,ADA
18,18,['ETC' 'ADA'],602,[ 13.06762347 -67.48792335],ETC,ADA
30,30,['ADA' 'BNB'],630,[60.46749085 -8.98121842],ADA,BNB
8,8,['XRP' 'ADA'],639,[  8.82933699 -62.13025177],XRP,ADA
11,11,['XRP' 'SOL'],649,[ 51.14392962 -29.45538373],XRP,SOL
17,17,['ETC' 'XLM'],662,[ 32.5024015  -70.89692937],ETC,XLM
26,26,['XLM' 'ADA'],692,[ 8.07404875 50.24028478],XLM,ADA
32,32,['ADA' 'ALGO'],761,[35.8721971  12.03730489],ADA,ALGO
27,27,['XLM' 'BNB'],775,[ 57.69079969 -17.13280743],XLM,BNB
9,9,['XRP' 'ATOM'],803,[ 51.85669188 -41.01383776],XRP,ATOM
22,22,['LINK' 'ATOM'],848,[ 24.25872376 -52.88489799],LINK,ATOM
16,16,['LTC' 'SOL'],906,[ 20.29292197 -30.75110491],LTC,SOL
5,5,['XRP' 'LTC'],940,[ 38.32213872 -17.13861914],XRP,LTC
40,40,['ALGO' 'XMR'],946,[24.58454185 11.03484829],ALGO,XMR
39,39,['ALGO' 'MATIC'],959,[22.49822022  8.97734294],ALGO,MATIC
7,7,['XRP' 'XLM'],960,[ 17.89692383 -57.81623946],XRP,XLM
29,29,['XLM' 'SOL'],983,[52.8638241  -9.60454491],XLM,SOL
41,41,['DOT' 'MATIC'],985,[ 59.53816565 -20.35945572],DOT,MATIC
12,12,['LTC' 'ETC'],992,[ 16.91027521 -39.10015705],LTC,ETC
42,42,['AVAX' 'MATIC'],1033,[ 51.07557687 -45.60898824],AVAX,MATIC
4,4,['ETH' 'ALGO'],1105,[ 6.76465729 22.39068142],ETH,ALGO
28,28,['XLM' 'ALGO'],1120,[ 38.72165602 -28.75867102],XLM,ALGO
10,10,['XRP' 'ALGO'],1126,[ 8.72872533 21.27953634],XRP,ALGO
37,37,['ALGO' 'DOT'],1175,[19.60506904 10.66334103],ALGO,DOT
24,24,['LINK' 'DOT'],1197,[  4.66489944 -45.17171758],LINK,DOT
15,15,['LTC' 'DOT'],1304,[ 12.66226874 -37.26386751],LTC,DOT
38,38,['ALGO' 'SOL'],1317,[22.17909231  0.50979578],ALGO,SOL
19,19,['ETC' 'ALGO'],1480,[  5.23076284 -22.43535294],ETC,ALGO
36,36,['ATOM' 'ALGO'],1493,[  5.91391067 -22.28475036],ATOM,ALGO
35,35,['BNB' 'ALGO'],1554,[  6.07732459 -20.41397251],BNB,ALGO
2,2,['ETH' 'LTC'],1910,[ 17.95026803 -18.16241241],ETH,LTC
3,3,['ETH' 'LINK'],2022,[ 42.01010085 -21.77174783],ETH,LINK
14,14,['LTC' 'ALGO'],2118,[  6.50464658 -14.99614593],LTC,ALGO
23,23,['LINK' 'ALGO'],2305,[  7.35028197 -15.47274295],LINK,ALGO
0,0,['BTC' 'LINK'],2470,[57.94552822 -6.53355065],BTC,LINK
25,25,['LINK' 'AVAX'],2985,[  4.67639716 -28.07259485],LINK,AVAX
