,i,pairs,half_life
29,124,['BDX' 'BIIB'],13
36,132,['BDX' 'CME'],13
44,140,['BDX' 'D'],13
24,104,['AVB' 'BDX'],13
18,65,['AEP' 'BDX'],13
13,43,['AKAM' 'DLR'],13
20,89,['APA' 'BDX'],13
15,53,['AMD' 'BDX'],14
37,133,['BDX' 'CTSH'],14
39,135,['BDX' 'CCI'],14
35,131,['BDX' 'CLX'],14
45,141,['BDX' 'DOW'],14
34,130,['BDX' 'CNC'],14
30,125,['BDX' 'BK'],14
31,126,['BDX' 'BKNG'],14
28,123,['BDX' 'BBY'],15
41,137,['BDX' 'DAL'],15
7,25,['ADBE' 'BDX'],15
42,138,['BDX' 'DLR'],15
33,129,['BDX' 'CBOE'],15
1,4,['ABT' 'BDX'],15
38,134,['BDX' 'CL'],15
32,128,['BDX' 'CCL'],15
43,139,['BDX' 'DG'],15
23,100,['ADSK' 'BDX'],15
48,144,['BDX' 'CRM'],15
21,93,['APTV' 'BDX'],15
19,87,['AMT' 'BDX'],15
17,56,['AAL' 'BDX'],15
14,46,['ALK' 'BDX'],15
5,23,['ATVI' 'BDX'],15
11,39,['AKAM' 'BDX'],15
46,142,['BDX' 'DD'],15
9,33,['APD' 'BDX'],15
47,143,['BDX' 'BEN'],15
3,13,['ABMD' 'BDX'],15
40,136,['BDX' 'DHI'],15
56,164,['BSX' 'CBOE'],16
22,94,['APTV' 'BKNG'],16
16,55,['AMD' 'CL'],16
52,157,['BKNG' 'COF'],17
0,1,['ABT' 'AMD'],17
2,7,['ABT' 'CL'],17
8,28,['ADBE' 'DLR'],17
27,113,['AVB' 'CME'],18
53,161,['BKNG' 'DOW'],18
26,108,['AVB' 'BSX'],19
54,162,['BKNG' 'DD'],19
50,152,['BK' 'BSX'],20
10,35,['APD' 'DHI'],20
6,24,['ADBE' 'AKAM'],20
49,151,['BK' 'BKNG'],21
58,171,['BSX' 'BEN'],21
57,165,['BSX' 'CLX'],21
12,40,['AKAM' 'BBY'],22
25,106,['AVB' 'BK'],23
51,154,['BK' 'CME'],24
59,188,['CTSH' 'CL'],25
55,163,['BKNG' 'BEN'],26
4,20,['ABMD' 'DG'],40
